collection_slug,backlog_bucket,top_repository_name,top_provider,repo_host,repo_url_hint,platform_hint,priority_kind,suggested_wave,direct_repo_hint_available,content_priority,extraction_ease,language_priority,pdf_hit_rate,raw_target_rows,tapped_target_rows,untapped_target_rows,known_overlap_source,dominant_target_types_summary,has_text,has_image,has_sound,has_video,estimated_text_items,estimated_image_items,estimated_sound_items,estimated_video_items,latest_run_id,latest_run_state,best_completed_run_id,notes,manual_priority,manual_repo_status,manual_notes
lexdelt,discovery_backlog,Λεξικογραφικόν Δελτίον,Ακαδημία Αθηνών,,,unknown,row_filtered,discovery_backlog,no,high,discovery_only,strict_ELL_NONE,,90,0,90,,article:90,yes,no,no,no,90,0,0,0,,,,strict-language untapped rows=90; content_priority=high; extraction_ease=discovery_only; no direct host hint yet from external_pdfs,,,
AFIMEC,discovery_backlog,"Animation, Film, Διαδραστικά Μέσα στην Εκπαίδευση και τον Πολιτισμό",Πανεπιστήμιο Δυτικής Αττικής (ΠΑ.Δ.Α.) & Πανεπιστήμιο Αιγαίου,,,unknown,row_filtered,discovery_backlog,no,high,discovery_only,strict_ELL_NONE,,86,0,86,,article:86,yes,no,no,no,86,0,0,0,,,,strict-language untapped rows=86; content_priority=high; extraction_ease=discovery_only; no direct host hint yet from external_pdfs,,,
theatrepolis,discovery_backlog,Θεάτρου Πόλις,"Τμήμα Θεατρικών Σπουδών, Πανεπιστήμιο Πελοποννήσου",,,unknown,whole_collection,discovery_backlog,no,high,discovery_only,strict_ELL_NONE,,79,0,79,,article:79,yes,no,no,no,79,0,0,0,,,,strict-language untapped rows=79; content_priority=high; extraction_ease=discovery_only; no direct host hint yet from external_pdfs,,,
enedim,discovery_backlog,Έρευνα στη Διδακτική των Μαθηματικών,Ένωση Ερευνητών της Διδακτικής των Μαθηματικών,,,unknown,row_filtered,discovery_backlog,no,high,discovery_only,strict_ELL_NONE,,77,0,77,,article:77,yes,no,no,no,77,0,0,0,,,,strict-language untapped rows=77; content_priority=high; extraction_ease=discovery_only; no direct host hint yet from external_pdfs,,,
childspace,discovery_backlog,Χώροι για το Παιδί ή Χώροι του Παιδιού;,Αριστοτέλειο Πανεπιστήμιο Θεσσαλονίκης - Εθνικό Μετσόβιο Πολυτεχνείο - Πολυτεχνείο Κρήτης - Πανεπιστήμιο Ιωαννίνων,,,unknown,row_filtered,discovery_backlog,no,high,discovery_only,strict_ELL_NONE,,74,0,74,,article:74,yes,no,no,no,74,0,0,0,,,,strict-language untapped rows=74; content_priority=high; extraction_ease=discovery_only; no direct host hint yet from external_pdfs,,,
online_edu,discovery_backlog,Από τον 20ο στον 21ο αιώνα μέσα σε 15 ημέρες,Πανεπιστήμιο Αιγαίου,,,unknown,whole_collection,discovery_backlog,no,high,discovery_only,strict_ELL_NONE,,71,0,71,,article:71,yes,no,no,no,71,0,0,0,,,,strict-language untapped rows=71; content_priority=high; extraction_ease=discovery_only; no direct host hint yet from external_pdfs,,,
periphery,discovery_backlog,Περιφέρεια,"Εθνικόν και Καποδιστριακόν Πανεπιστήμιον Αθηνών (ΕΚΠΑ) - Ερευνητικό Κέντρο Οικονομικής πολιτικής, Διακυβέρνησης και Ανάπτυξης",,,unknown,row_filtered,discovery_backlog,no,high,discovery_only,strict_ELL_NONE,,69,0,69,,article:69,yes,no,no,no,69,0,0,0,,,,strict-language untapped rows=69; content_priority=high; extraction_ease=discovery_only; no direct host hint yet from external_pdfs,,,
eea,discovery_backlog,Επιθεώρηση Ελληνικής Εταιρείας Αξιολόγησης,Ελληνική Εταιρεία Αξιολόγησης,,,unknown,row_filtered,discovery_backlog,no,high,discovery_only,strict_ELL_NONE,,65,0,65,,article:65,yes,no,no,no,65,0,0,0,,,,strict-language untapped rows=65; content_priority=high; extraction_ease=discovery_only; no direct host hint yet from external_pdfs,,,
visualmarch,discovery_backlog,Διεθνές Συνέδριο για την Εικαστική Πορεία προς τις Πρέσπες,Τμήμα Εικαστικών και Εφαρμοσμένων Τεχνών Τμήμα Εικαστικών και Εφαρμοσμένων Τεχνών Πανεπιστημίου Δυτικής Μακεδονίας,,,unknown,whole_collection,discovery_backlog,no,high,discovery_only,strict_ELL_NONE,,64,0,64,,article:64,yes,no,no,no,64,0,0,0,,,,strict-language untapped rows=64; content_priority=high; extraction_ease=discovery_only; no direct host hint yet from external_pdfs,,,
anemopetalio,discovery_backlog,Ανεμοπετάλιο,Δημόσια Κεντρική Βιβλιοθήκη Καλαμάτας,,,unknown,whole_collection,discovery_backlog,no,high,discovery_only,strict_ELL_NONE,,63,0,63,,article:63,yes,no,no,no,63,0,0,0,,,,strict-language untapped rows=63; content_priority=high; extraction_ease=discovery_only; no direct host hint yet from external_pdfs,,,
