collection_slug,backlog_bucket,top_repository_name,top_provider,repo_host,repo_url_hint,platform_hint,priority_kind,suggested_wave,direct_repo_hint_available,content_priority,extraction_ease,language_priority,pdf_hit_rate,raw_target_rows,tapped_target_rows,untapped_target_rows,known_overlap_source,dominant_target_types_summary,has_text,has_image,has_sound,has_video,estimated_text_items,estimated_image_items,estimated_sound_items,estimated_video_items,latest_run_id,latest_run_state,best_completed_run_id,notes,manual_priority,manual_repo_status,manual_notes
uth_rep,wave1_active,Ιδρυματικό Αποθετήριο Πανεπιστημίου Θεσσαλίας,Πανεπιστήμιο Θεσσαλίας,ir.lib.uth.gr,https://ir.lib.uth.gr/,dspace_xmlui,whole_collection,wave1_high_quality_easy,yes,high,easy,strict_ELL_NONE,0.564023118631949,50349,0,50349,,thesis:23646; article:19556; συνέδριο/αναφορά:2363; image:2230; other:1782,yes,yes,no,no,47347,2230,0,0,,,,strict-language untapped rows=50349; content_priority=high; extraction_ease=easy,,,
phdtheses,known_host_backlog,Εθνικό Αρχείο Διδακτορικών Διατριβών,Εθνικό Κέντρο Τεκμηρίωσης και Ηλεκτρονικού Περιεχομένου (ΕΚΤ),hdl.handle.net,http://hdl.handle.net/,custom_or_unknown,row_filtered,overlap_defer,yes,high,hard,strict_ELL_NONE,0.0,46302,0,46302,covered_by_standalone_greek_phd,thesis:46302,yes,no,no,no,46302,0,0,0,,,,strict-language untapped rows=46302; content_priority=high; extraction_ease=hard; overlap=covered_by_standalone_greek_phd,,,
pergamos,known_host_backlog,Πέργαμος,Εθνικό και Καποδιστριακό Πανεπιστήμιο Αθηνών,pergamos.lib.uoa.gr,https://pergamos.lib.uoa.gr/,custom_object_repository,row_filtered,wave2_medium,yes,high,medium,strict_ELL_NONE,0.5122972517687828,41554,0,41554,,thesis:39862; article:751; επιστημονική δημοσίευση:344; access:328; archive:129,yes,no,no,no,41414,0,0,0,,,,strict-language untapped rows=41554; content_priority=high; extraction_ease=medium,,,
uoi,known_host_backlog,Ιδρυματικό Αποθετήριο Ολυμπιάς,Πανεπιστήμιο Ιωαννίνων,olympias.lib.uoi.gr,https://olympias.lib.uoi.gr/,dspace_jspui,row_filtered,wave2_medium,yes,medium,easy,strict_ELL_NONE,0.5606383626728392,32834,0,32834,,thesis:18242; NA:10587; book:1582; article:1390; other:411,yes,no,no,no,32212,0,0,0,,,,strict-language untapped rows=32834; content_priority=medium; extraction_ease=easy,,,
nemertes,known_host_backlog,Νημερτής,Πανεπιστήμιο Πατρών,nemertes.library.upatras.gr,https://nemertes.library.upatras.gr/,dspace_handle_repository,whole_collection,wave2_medium,yes,medium,medium,strict_ELL_NONE,0.0,26933,1913,25020,,thesis:11375; NA:8290; εργασία:6848; journal:123; Report:117,yes,no,no,no,26753,0,0,0,,,,strict-language untapped rows=25020; content_priority=medium; extraction_ease=medium,,,
psepheda,wave1_active,Ψηφίδα - Ψηφιακή Βιβλιοθήκη και Ιδρυματικό Καταθετήριο του Πανεπιστημίου Μακεδονίας,Πανεπιστήμιο Μακεδονίας,dspace.lib.uom.gr,https://dspace.lib.uom.gr/,dspace_handle_repository,whole_collection,wave1_high_quality_easy,yes,high,easy,strict_ELL_NONE,0.9416908235517749,21043,0,21043,,thesis:13568; book:3377; NA:2147; text:908; paper:714,yes,no,no,no,20714,0,0,0,,,,strict-language untapped rows=21043; content_priority=high; extraction_ease=easy,,,
rep_ihu,known_host_backlog,Ιδρυματικό Αποθετήριο Διεθνούς Πανεπιστημίου Ελλάδος (ΔΙΠΑΕ),Διεθνές Πανεπιστήμιο της Ελλάδος,repository.ihu.gr,https://repository.ihu.gr/,dspace7,row_filtered,wave2_medium,yes,medium,easy,strict_ELL_NONE,0.6058611273649308,20508,0,20508,,άλλο:8676; thesis:5762; εργασία:3499; paper:1196; περιοδικό:584,yes,no,no,no,19717,0,0,0,,,,strict-language untapped rows=20508; content_priority=medium; extraction_ease=easy,,,
repo_duth,known_host_backlog,Αποθετήριο Δημοκρίτειου Πανεπιστημίου,Δημοκρίτειο Πανεπιστήμιο Θράκης,repo.lib.duth.gr,http://repo.lib.duth.gr/,dspace_jspui,row_filtered,wave2_medium,yes,high,medium,strict_ELL_NONE,0.0,19454,0,19454,,thesis:18830; book:421; learning:159; other:36; NA:4,yes,no,no,no,19450,0,0,0,,,,strict-language untapped rows=19454; content_priority=high; extraction_ease=medium,,,
IKEE_AUT,known_host_backlog,Ιδρυματικό Καταθετήριο Επιστημονικών Εργασιών ΑΠΘ,Αριστοτέλειο Πανεπιστήμιο Θεσσαλονίκης,ikee.lib.auth.gr,http://ikee.lib.auth.gr/,custom_ekt_repository,row_filtered,wave2_medium,yes,high,medium,strict_ELL_NONE,0.5984782352247258,84770,68013,16757,,thesis:48187; συνέδριο:14135; άρθρο:10361; book:9516; NA:2348,yes,no,no,no,84547,0,0,0,,,,strict-language untapped rows=16757; content_priority=high; extraction_ease=medium,,,
ntua,wave1_active,Ψηφιακό Αποθετήριο της Κεντρικής Βιβλιοθήκης του ΕΜΠ | Dspace@NTUA,Εθνικό Μετσόβιο Πολυτεχνείο,dspace.lib.ntua.gr,https://dspace.lib.ntua.gr/,dspace_xmlui,row_filtered,wave1_high_quality_easy,yes,high,easy,strict_ELL_NONE,0.9950493898895991,43025,26673,16352,,thesis:24435; article:9811; συνέδριο/αναφορά:6028; διάλεξη:1288; other:443,yes,no,no,no,42005,0,0,0,,,,strict-language untapped rows=16352; content_priority=high; extraction_ease=easy,,,
pyxida,wave1_active,ΠΥΞΙΔΑ,Οικονομικό Πανεπιστήμιο Αθηνών,pyxida.aueb.gr,https://pyxida.aueb.gr/,dspace7,whole_collection,wave1_high_quality_easy,yes,high,easy,strict_ELL_NONE,0.993202546893822,11622,0,11622,,text:11450; image:131; συλλογή/εκλογές:17; review:16; other:3,yes,yes,no,no,11486,131,0,0,20260329T140405Z_discover,in_progress,20260329T134146Z_discover,strict-language untapped rows=11622; content_priority=high; extraction_ease=easy,,,
anaktisis,known_host_backlog,@νάκτησις,Τεχνολογικό Εκπαιδευτικό Ίδρυμα (ΤΕΙ) Δυτικής Μακεδονίας,anaktisis.uowm.gr,http://anaktisis.uowm.gr/,custom_or_unknown,whole_collection,wave2_medium,yes,high,medium,strict_ELL_NONE,0.999330599949795,11951,1191,10760,,doctoral:11498; thesis:453,yes,no,no,no,11951,0,0,0,,,,strict-language untapped rows=10760; content_priority=high; extraction_ease=medium,,,
Pandemos,known_host_backlog,Πάνδημος - Ψηφιακή Βιβλιοθήκη,Πάντειον Πανεπιστήμιο,pandemos.panteion.gr,https://pandemos.panteion.gr/,dspace_handle_repository,whole_collection,wave2_medium,yes,high,medium,strict_ELL_NONE,0.0,19312,11123,8189,,άρθρο:8353; εργασία:6159; διατριβή:1359; NA:1182; τεύχος:818,yes,no,no,no,17871,0,0,0,,,,strict-language untapped rows=8189; content_priority=high; extraction_ease=medium,,,
polynoe,known_host_backlog,Πολυνόη - Ιδρυματικό Αποθετήριο Πανεπιστημίου Δυτικής Αττικής,Πανεπιστήμιο Δυτικής Αττικής (ΠΑ.Δ.Α.),polynoe.lib.uniwa.gr,https://polynoe.lib.uniwa.gr/,dspace_xmlui,row_filtered,wave2_medium,yes,high,easy,strict_ELL_NONE,0.9989886219974715,7910,0,7910,,εργασία:7801; διατριβή:104; διδακτορική:5,yes,no,no,no,7910,0,0,0,,,,strict-language untapped rows=7910; content_priority=high; extraction_ease=easy,,,
dias,known_host_backlog,Ιδρυματικό Αποθετήριο Πολυτεχνείου Κρήτης,Πολυτεχνείο Κρήτης,dias.library.tuc.gr,https://dias.library.tuc.gr/,custom_or_unknown,row_filtered,wave2_medium,yes,high,medium,strict_ELL_NONE,0.39097011693373757,9236,2712,6524,,thesis:8229; other:779; article:113; paper:111; chapter:1,yes,no,no,no,9233,0,0,0,,,,strict-language untapped rows=6524; content_priority=high; extraction_ease=medium,,,
kallipos,known_host_backlog,Αποθετήριο «Κάλλιπος»,Σύνδεσμος Ελληνικών Ακαδημαϊκων Βιβλιοθηκών,repository.kallipos.gr,https://repository.kallipos.gr/,dspace_handle_repository,whole_collection,wave3_hard_or_small,yes,low,easy,strict_ELL_NONE,0.9964784974922634,9371,2938,6433,,NA:9371,yes,no,no,no,9371,0,0,0,,,,strict-language untapped rows=6433; content_priority=low; extraction_ease=easy,,,
KEIED,known_host_backlog,Κέντρον Ερεύνης της Ιστορίας του Ελληνικού Δικαίου (ΚΕΙΕΔ),Ακαδημία Αθηνών,repository.academyofathens.gr,http://repository.academyofathens.gr/,custom_or_unknown,row_filtered,wave2_medium,yes,high,medium,strict_ELL_NONE,0.9963242801715336,9794,3717,6077,,κεφάλαιο:3713; έγγραφο:3034; νοταριακό:1948; δικαστική απόφαση:695; επετηρίδα:208,yes,no,no,no,9598,0,0,0,,,,strict-language untapped rows=6077; content_priority=high; extraction_ease=medium,,,
uowm,known_host_backlog,Ιδρυματικό Καταθετήριο Επιστημονικών Εργασιών  του Πανεπιστημίου Δυτικής Μακεδονίας,Πανεπιστήμιο Δυτικής Μακεδονίας,dspace.uowm.gr,https://dspace.uowm.gr/,dspace_xmlui,row_filtered,wave2_medium,yes,high,easy,strict_ELL_NONE,0.998675747256905,5286,0,5286,,thesis:4662; εργασία:465; other:152; paper:2; video:2,yes,no,no,yes,5281,0,0,2,,,,strict-language untapped rows=5286; content_priority=high; extraction_ease=easy,,,
ktisis,known_host_backlog,Κτίσις,Τεχνολογικό Πανεπιστήμιο Κύπρου,ktisis.cut.ac.cy,https://ktisis.cut.ac.cy/,dspace_handle_repository,row_filtered,wave3_hard_or_small,yes,medium,easy,strict_ELL_NONE,0.9977207977207977,5265,662,4603,,thesis:2784; NA:1505; συνέδριο/αναφορά:319; article:198; exhibition:105,yes,no,no,no,4911,0,0,0,,,,strict-language untapped rows=4603; content_priority=medium; extraction_ease=easy,,,
apothesis,known_host_backlog,Ιδρυματικό Αποθετήριο Ελληνικου Ανοικτού Πανεπιστημίου - APOTHESIS,Ελληνικό Ανοικτό Πανεπιστήμιο,apothesis.eap.gr,https://apothesis.eap.gr/,custom_or_unknown,row_filtered,wave3_hard_or_small,yes,high,medium,strict_ELL_NONE,0.8941657493316559,6359,3126,3233,,thesis:6359,yes,no,no,no,6359,0,0,0,,,,strict-language untapped rows=3233; content_priority=high; extraction_ease=medium,,,
aua,known_host_backlog,Ψηφιακό Αποθετήριο Γεωπονικού Πανεπιστημίου Αθηνών,Γεωπονικό Πανεπιστήμιο Αθηνών,dspace.aua.gr,http://dspace.aua.gr/,dspace_xmlui,row_filtered,wave3_hard_or_small,yes,high,easy,strict_ELL_NONE,0.9855719683957403,2911,394,2517,,εργασία:2811; διατριβή:90; thesis:6; NA:2; paper:2,yes,no,no,no,2911,0,0,0,,,,strict-language untapped rows=2517; content_priority=high; extraction_ease=easy,,,
ariadne,known_host_backlog,Ιδρυματικό Αποθετήριο ΕΚΤ «Αριάδνη»,Εθνικό Κέντρο Τεκμηρίωσης και Ηλεκτρονικού Περιεχομένου (ΕΚΤ),ariadne.ekt.gr,https://ariadne.ekt.gr/,dspace_handle_repository,row_filtered,wave3_hard_or_small,yes,low,easy,strict_ELL_NONE,0.6408657373440939,2726,319,2407,,NA:2309; εκδήλωση:221; περιοδικό:120; οδηγός:28; συνέδριο:16,yes,no,no,no,2694,0,0,0,,,,strict-language untapped rows=2407; content_priority=low; extraction_ease=easy,,,
estia,known_host_backlog,Βιβλιοθήκη και Κέντρο Πληροφόρησης ΕΣΤΙΑ,Χαροκόπειο Πανεπιστήμιο,estia.hua.gr,http://estia.hua.gr/,custom_or_unknown,whole_collection,wave3_hard_or_small,yes,high,hard,strict_ELL_NONE,0.0,6302,3987,2315,,thesis:5729; journal:295; folder:162; επιστημονική δημοσίευση:34; συλλογή/εκλογές:30,yes,no,no,no,6250,0,0,0,,,,strict-language untapped rows=2315; content_priority=high; extraction_ease=hard,,,
sophia,known_host_backlog,Ψηφιακό Αποθετήριο Τμήματος Μουσικών Σπουδών Α.Π.Θ. ΣΟΦΙΑ,Αριστοτέλειο Πανεπιστήμιο Θεσσαλονίκης,sophia.mus.auth.gr,https://sophia.mus.auth.gr/,dspace_xmlui,whole_collection,wave3_hard_or_small,yes,medium,medium,strict_ELL_NONE,0.0,2214,0,2214,,εργασία:1191; tape:462; NA:362; recording:84; image:33,yes,yes,yes,no,1553,33,546,0,,,,strict-language untapped rows=2214; content_priority=medium; extraction_ease=medium,,,
cetpe,known_host_backlog,Συνέδρια της Ελληνικής Επιστημονικής Ένωσης Τεχνολογιών Πληροφορίας & Επικοινωνιών στην Εκπαίδευση,Ελληνική Επιστημονική Ένωση Τεχνολογιών Πληροφορίας & Επικοινωνιών Στην Εκπαίδευση (ΕΤΠΕ),eproceedings.epublishing.ekt.gr,https://eproceedings.epublishing.ekt.gr/,custom_or_unknown,whole_collection,wave3_hard_or_small,yes,high,hard,strict_ELL_NONE,0.02214502822405558,2303,470,1833,,article:2303,yes,no,no,no,2303,0,0,0,,,,strict-language untapped rows=1833; content_priority=high; extraction_ease=hard,,,
helios,known_host_backlog,Ήλιος - Αποθετήριο Εθνικού Ιδρύματος Ερευνών,Εθνικό Ίδρυμα Ερευνών (ΕΙΕ),helios.eie.gr,https://helios.eie.gr/,dspace_handle_repository,row_filtered,wave3_hard_or_small,yes,medium,medium,strict_ELL_NONE,0.051255660765747224,4858,3128,1730,,βιβλίο:1026; παρουσίαση:720; άρθρο:658; διάλεξη:564; συνέδριο:492,yes,no,no,no,3460,0,0,0,,,,strict-language untapped rows=1730; content_priority=medium; extraction_ease=medium,,,
kypseli,known_host_backlog,Ψηφιακό Αποθετήριο Κυψέλη,Ανοικτό Πανεπιστήμιο Κύπρου,kypseli.ouc.ac.cy,https://kypseli.ouc.ac.cy/,dspace_handle_repository,whole_collection,wave3_hard_or_small,yes,high,easy,strict_ELL_NONE,1.0,1696,0,1696,,διατριβή:1200; εικόνα:467; book:17; other:6; paper:5,yes,yes,no,no,1228,467,0,0,,,,strict-language untapped rows=1696; content_priority=high; extraction_ease=easy,,,
pasithee,known_host_backlog,Πασιθέη - Ηλεκτρονικές επιστημονικές δημοσιεύσεις Ανοικτής Πρόσβασης,Πανεπιστήμιο Πατρών,pasithee.library.upatras.gr,https://pasithee.library.upatras.gr/,custom_or_unknown,row_filtered,wave3_hard_or_small,yes,high,hard,strict_ELL_NONE,0.016570605187319884,1388,0,1388,,article:1388,yes,no,no,no,1388,0,0,0,,,,strict-language untapped rows=1388; content_priority=high; extraction_ease=hard,,,
elocus,known_host_backlog,E-Locus Ιδρυματικό Καταθετήριο,Πανεπιστήμιο Κρήτης,elocus.lib.uoc.gr,https://elocus.lib.uoc.gr/,custom_or_unknown,row_filtered,wave3_hard_or_small,yes,high,medium,strict_ELL_NONE,0.9330548656581621,8858,7487,1371,,text:6877; εργασία:1978; NA:3,yes,no,no,no,8858,0,0,0,,,,strict-language untapped rows=1371; content_priority=high; extraction_ease=medium,,,
makedonika,known_host_backlog,Μακεδονικά,Εταιρεία Μακεδονικών Σπουδών,ejournals.epublishing.ekt.gr,https://ejournals.epublishing.ekt.gr/,custom_or_unknown,row_filtered,wave3_hard_or_small,yes,high,medium,strict_ELL_NONE,0.6592328278322926,1121,0,1121,,article:1121,yes,no,no,no,1121,0,0,0,,,,strict-language untapped rows=1121; content_priority=high; extraction_ease=medium,,,
deltion,known_host_backlog,Δελτίον Χριστιανικής Αρχαιολογικής Εταιρείας,Χριστιανική Αρχαιολογική Εταιρεία,ejournals.epublishing.ekt.gr,https://ejournals.epublishing.ekt.gr/,custom_or_unknown,row_filtered,wave3_hard_or_small,yes,high,medium,strict_ELL_NONE,0.5560640732265446,1311,449,862,,article:1311,yes,no,no,no,1311,0,0,0,,,,strict-language untapped rows=862; content_priority=high; extraction_ease=medium,,,
mnimon,discovery_backlog,Μνήμων,Εταιρεία Μελέτης Νέου Ελληνισμού (EMNE),,,unknown,row_filtered,discovery_backlog,no,high,discovery_only,strict_ELL_NONE,,850,0,850,,article:850,yes,no,no,no,850,0,0,0,,,,strict-language untapped rows=850; content_priority=high; extraction_ease=discovery_only; no direct host hint yet from external_pdfs,,,
KEINE,discovery_backlog,Κέντρον Ερεύνης της Ιστορίας του Νεωτέρου Ελληνισμού (ΚΕΙΝΕ),Ακαδημία Αθηνών,,,unknown,row_filtered,discovery_backlog,no,high,discovery_only,strict_ELL_NONE,,755,0,755,,βιβλίο:639; άρθρο:80; χάρτης:32; περιοδικό:2; ψήφισμα:1,yes,no,no,no,754,0,0,0,,,,strict-language untapped rows=755; content_priority=high; extraction_ease=discovery_only; no direct host hint yet from external_pdfs,,,
openedu,discovery_backlog,Διεθνές Συνέδριο για την Ανοικτή και εξ Αποστάσεως Εκπαίδευση,Ελληνικό Δίκτυο Ανοικτής και εξ Αποστάσεως Εκπαίδευσης (ΕΔΑΕ),,,unknown,row_filtered,discovery_backlog,no,high,discovery_only,strict_ELL_NONE,,716,0,716,,article:716,yes,no,no,no,716,0,0,0,,,,strict-language untapped rows=716; content_priority=high; extraction_ease=discovery_only; no direct host hint yet from external_pdfs,,,
hellanicus,known_host_backlog,Ιδρυματικό Αποθετήριο Ελλάνικος (Hellanicus),Πανεπιστήμιο Αιγαίου,hellanicus.lib.aegean.gr,https://hellanicus.lib.aegean.gr/,dspace_handle_repository,whole_collection,wave3_hard_or_small,yes,high,easy,strict_ELL_NONE,0.9106675049774704,19086,18416,670,,thesis:18303; book:504; video:114; software:106; NA:17,yes,no,no,yes,18930,0,0,114,,,,strict-language untapped rows=670; content_priority=high; extraction_ease=easy,,,
CoDiSTE,discovery_backlog,Πανελλήνιο Συνέδριο της Διδακτικής των Φυσικών Επιστημών και Νέων Τεχνολογιών στην Εκπαίδευση,Ένωση για την Εκπαίδευση στις Φυσικές Επιστήμες και την Τεχνολογία (ΕΝΕΦΕΤ),,,unknown,whole_collection,discovery_backlog,no,high,discovery_only,strict_ELL_NONE,,603,0,603,,article:603,yes,no,no,no,603,0,0,0,,,,strict-language untapped rows=603; content_priority=high; extraction_ease=discovery_only; no direct host hint yet from external_pdfs,,,
sas,discovery_backlog,Επιστήμη και Κοινωνία: Επιθεώρηση Πολιτικής και Ηθικής Θεωρίας,Συντακτική Επιτροπή Επιστήμης και Κοινωνίας,,,unknown,row_filtered,discovery_backlog,no,high,discovery_only,strict_ELL_NONE,,573,0,573,,article:573,yes,no,no,no,573,0,0,0,,,,strict-language untapped rows=573; content_priority=high; extraction_ease=discovery_only; no direct host hint yet from external_pdfs,,,
psychology,discovery_backlog,Ψυχολογία: To περιοδικό της Ελληνικής Ψυχολογικής Εταιρείας,Ελληνική Ψυχολογική Εταιρεία (ΕΛΨΕ),,,unknown,row_filtered,discovery_backlog,no,high,discovery_only,strict_ELL_NONE,,572,0,572,,article:572,yes,no,no,no,572,0,0,0,,,,strict-language untapped rows=572; content_priority=high; extraction_ease=discovery_only; no direct host hint yet from external_pdfs,,,
edusc,discovery_backlog,Πανελλήνιο Συνέδριο Επιστημών Εκπαίδευσης,Εθνικόν και Καποδιστριακόν Πανεπιστήμιον Αθηνών (ΕΚΠΑ) - Κέντρο Μελέτης Ψυχοφυσιολογίας και Εκπαίδευσης,,,unknown,row_filtered,discovery_backlog,no,high,discovery_only,strict_ELL_NONE,,471,0,471,,article:471,yes,no,no,no,471,0,0,0,,,,strict-language untapped rows=471; content_priority=high; extraction_ease=discovery_only; no direct host hint yet from external_pdfs,,,
Byzantina,discovery_backlog,Βυζαντινά Σύμμεικτα,Ινστιτούτο Ιστορικών Ερευνών/ΕΙΕ,,,unknown,row_filtered,discovery_backlog,no,high,discovery_only,strict_ELL_NONE,,438,0,438,,article:438,yes,no,no,no,438,0,0,0,,,,strict-language untapped rows=438; content_priority=high; extraction_ease=discovery_only; no direct host hint yet from external_pdfs,,,
hpsa,discovery_backlog,Ελληνική Επιθεώρηση Πολιτικής Επιστήμης,Ελληνική Εταιρεία Πολιτικής Επιστήμης (ΕΕΠΕ),,,unknown,row_filtered,discovery_backlog,no,high,discovery_only,strict_ELL_NONE,,431,0,431,,article:431,yes,no,no,no,431,0,0,0,,,,strict-language untapped rows=431; content_priority=high; extraction_ease=discovery_only; no direct host hint yet from external_pdfs,,,
geographies,discovery_backlog,Γεωγραφίες,Τμήμα Γεωγραφίας Χαροκόπειο Πανεπιστήμιο,,,unknown,whole_collection,discovery_backlog,no,high,discovery_only,strict_ELL_NONE,,428,0,428,,article:428,yes,no,no,no,428,0,0,0,,,,strict-language untapped rows=428; content_priority=high; extraction_ease=discovery_only; no direct host hint yet from external_pdfs,,,
ACADEMY_LIB,discovery_backlog,Βιβλιοθήκη της Ακαδημίας Αθηνών ''Ιωάννης Συκουτρής'',Ακαδημία Αθηνών,,,unknown,row_filtered,discovery_backlog,no,high,discovery_only,strict_ELL_NONE,,417,0,417,,βιβλίο:417,yes,no,no,no,417,0,0,0,,,,strict-language untapped rows=417; content_priority=high; extraction_ease=discovery_only; no direct host hint yet from external_pdfs,,,
prevchr,discovery_backlog,Πρεβεζάνικα Χρονικά,Δήμος Πρέβεζας - Δημοτική Βιβλιοθήκη Πρέβεζας,,,unknown,whole_collection,discovery_backlog,no,high,discovery_only,strict_ELL_NONE,,416,0,416,,article:416,yes,no,no,no,416,0,0,0,,,,strict-language untapped rows=416; content_priority=high; extraction_ease=discovery_only; no direct host hint yet from external_pdfs,,,
sygkrisi,discovery_backlog,Σύγκριση,Ελληνική Εταιρεία Γενικής και Συγκριτικής Γραμματολογίας,,,unknown,row_filtered,discovery_backlog,no,high,discovery_only,strict_ELL_NONE,,324,0,324,,article:324,yes,no,no,no,324,0,0,0,,,,strict-language untapped rows=324; content_priority=high; extraction_ease=discovery_only; no direct host hint yet from external_pdfs,,,
deltiokms,discovery_backlog,Δελτίο Κέντρου Μικρασιατικών Σπουδών,Κέντρο Μικρασιατικών Σπουδών,,,unknown,row_filtered,discovery_backlog,no,high,discovery_only,strict_ELL_NONE,,290,0,290,,article:290,yes,no,no,no,290,0,0,0,,,,strict-language untapped rows=290; content_priority=high; extraction_ease=discovery_only; no direct host hint yet from external_pdfs,,,
openjournal,discovery_backlog,Ανοικτή Εκπαίδευση: το περιοδικό για την Ανοικτή και εξ Αποστάσεως Εκπαίδευση και την Εκπαιδευτική Τεχνολογία,Ελληνικό Δίκτυο Ανοικτής και εξ Αποστάσεως Εκπαίδευσης (ΕΔΑΕ),,,unknown,row_filtered,discovery_backlog,no,high,discovery_only,strict_ELL_NONE,,285,0,285,,article:285,yes,no,no,no,285,0,0,0,,,,strict-language untapped rows=285; content_priority=high; extraction_ease=discovery_only; no direct host hint yet from external_pdfs,,,
eranistis,discovery_backlog,Ο Ερανιστής,Όμιλος Μελέτης του Ελληνικού Διαφωτισμού (ΟΜΕΔ),,,unknown,row_filtered,discovery_backlog,no,high,discovery_only,strict_ELL_NONE,,262,0,262,,article:262,yes,no,no,no,262,0,0,0,,,,strict-language untapped rows=262; content_priority=high; extraction_ease=discovery_only; no direct host hint yet from external_pdfs,,,
ethiki,discovery_backlog,Ηθική,Εργαστήριο Φιλοσοφία-Διακυβέρνηση-Οικονομία,,,unknown,whole_collection,discovery_backlog,no,high,discovery_only,strict_ELL_NONE,,220,0,220,,article:220,yes,no,no,no,220,0,0,0,,,,strict-language untapped rows=220; content_priority=high; extraction_ease=discovery_only; no direct host hint yet from external_pdfs,,,
edulll,known_host_backlog,Ψηφιακή Βιβλιοθήκη- Επιχειρησιακό Πρόγραμμα Εκπαίδευση και Δια Βίου Μάθηση,"Επιχειρησιακό Πρόγραμμα ""Εκπαίδευση και Δια Βίου Μάθηση"", Υπουργείο Εκπαίδευσης και Δια Βίου Μάθησης",repository.edulll.gr,http://repository.edulll.gr/,custom_or_unknown,row_filtered,wave3_hard_or_small,yes,high,medium,strict_ELL_NONE,0.9690067214339059,2678,2465,213,,text:2497; dataset:85; image:83; event:9; sound:3,yes,yes,yes,no,2591,83,3,0,,,,strict-language untapped rows=213; content_priority=high; extraction_ease=medium,,,
omep,discovery_backlog,Ερευνώντας τον Κόσμο του Παιδιού,Παγκόσμια Οργάνωση Προσχολικής Εκπαίδευσης - Ελληνική Επιτροπή (ΟΜΕΡ Ελλάδος),,,unknown,row_filtered,discovery_backlog,no,high,discovery_only,strict_ELL_NONE,,205,0,205,,article:205,yes,no,no,no,205,0,0,0,,,,strict-language untapped rows=205; content_priority=high; extraction_ease=discovery_only; no direct host hint yet from external_pdfs,,,
